timestamp,cpu_percent,ram_percent,ram_used_bytes
2026-04-15 22:04:29,7.11538,42.3784,14165127168
2026-04-15 22:04:30,8.79227,42.3515,14156115968
ALERT,RAM,RAM exceeded threshold,81.873,80
ALERT,CPU,CPU spike detected,49.2308,13.75
39.3269,81.9505,27392221184
ALERT,RAM,RAM exceeded threshold,81.9505,80
40.2885,82.209,27478609920
ALERT,RAM,RAM exceeded threshold,82.209,80
29.4508,82.2861,27504373760
ALERT,RAM,RAM exceeded threshold,82.2861,80
27.6923,82.2852,27504087040
ALERT,RAM,RAM exceeded threshold,82.2852,80
29.5192,82.239,27488641024
ALERT,RAM,RAM exceeded threshold,82.239,80
CPU%,RAM%,RAM_Used_Bytes
39.6154,79.8871,26702508032
46.6346,79.9003,26706931712
43.3654,79.8895,26703327232
44.6154,79.8992,26706538496
CPU%,RAM%,RAM_Used_Bytes
5.48077,42.8236,14313926656
10.3846,42.8136,14310592512
4.82955,42.8381,14318768128
12.1154,42.9285,14348980224
9.90385,42.8512,14323150848
5.77652,42.8299,14316027904
5.57692,42.8308,14316326912
3.84615,42.8234,14313865216
5.76923,42.813,14310383616
5.19231,42.8105,14309531648
6.05769,42.8172,14311780352
5.38462,42.8335,14317232128
6.3447,42.8288,14315671552
4.32692,42.8291,14315765760
7.30769,42.8252,14314471424
4.07197,42.8096,14309240832
5.48077,42.8153,14311145472
5.38462,42.8181,14312075264
5.19231,42.8145,14310866944
4.61538,42.8113,14309806080
5.09615,42.8092,14309117952
7.01923,42.8172,14311776256
9.03846,42.8165,14311563264
4.45076,42.8144,14310846464
4.23077,42.8162,14311444480
5.96154,42.8266,14314930176
5.20833,42.8259,14314700800
3.80859,42.8185,14312210432
5.20833,42.8174,14311854080
8.75,42.8125,14310215680
12.6923,42.8186,14312255488
6.25,42.8505,14322900992
7.98077,42.844,14320746496
12.4038,42.832,14316740608
7.78846,42.83,14316072960
CPU%,RAM%,RAM_Used_Bytes
4.71154,45.6522,15259398144
8.75,45.638,15254626304
5.48077,45.6314,15252430848
2.21154,45.6263,15250747392
2.21154,45.6258,15250563072
5.46875,45.6297,15251869696
5.20833,45.6261,15250665472
4.90385,45.6351,15253671936
4.23484,45.6435,15256481792
4.09756,45.6467,15257554944
CPU%,RAM%,RAM_Used_Bytes
7.59615,45.4912,15205580800
3.26923,45.4825,15202676736
4.23077,45.4727,15199395840
3.46154,45.4717,15199064064
3.07692,45.4471,15190822912
3.55769,45.4431,15189483520
2.78846,45.4391,15188164608
7.11538,45.4118,15179038720
6.25,45.4114,15178903552
5.56641,45.408,15177781248
4.13462,45.3533,15159468032
2.84091,45.3541,15159754752
3.46154,45.354,15159730176
5.17578,45.3502,15158448128
5.58712,45.3273,15150788608
5.96154,45.3351,15153393664
4.80769,45.3303,15151804416
3.65385,45.3046,15143206912
6.82692,45.29,15138316288
4.32692,45.289,15137972224
3.97727,45.2879,15137619968
10.5469,45.3798,15168335872
CPU%,RAM%,RAM_Used_Bytes
4.39453,45.0959,15073460224
3.36538,45.1022,15075540992
1.82692,45.1016,15075336192
7.01923,45.0968,15073759232
2.5,45.0943,15072911360
11.1328,45.1041,15076179968
6.59026,45.0944,15072952320
3.38819,45.0915,15071956992
2.08333,45.0936,15072686080
3.07692,45.0644,15062929408
4.61538,45.047,15057088512
5.09615,45.0488,15057702912
2.40385,45.0469,15057072128
CPU%,RAM%,RAM_Used_Bytes
43.6523,81.7319,27319148544
ALERT,RAM,RAM exceeded threshold,81.7319,80
37.8788,81.6199,27281698816
ALERT,RAM,RAM exceeded threshold,81.6199,80
42.8977,81.6128,27279347712
ALERT,RAM,RAM exceeded threshold,81.6128,80
45.6157,81.5927,27272605696
ALERT,RAM,RAM exceeded threshold,81.5927,80
46.9697,81.5797,27268259840
ALERT,RAM,RAM exceeded threshold,81.5797,80
42.6758,78.6465,26287849472
56.0634,78.6781,26298396672
53.7879,78.7363,26317840384
48.0114,78.6128,26276581376
50.8523,78.6266,26281181184
37.6866,78.6199,26278940672
42.6136,78.6169,26277937152
48.2955,78.6146,26277183488
44.8694,78.607,26274648064
43.9394,78.6159,26277593088
47.9167,78.6263,26281099264
53.1716,78.6248,26280595456
45.2652,78.6225,26279809024
42.1402,78.6234,26280124416
49.3371,78.6465,26287833088
43.8477,79.7062,26642051072
44.0341,79.6797,26633183232
41.1381,79.6835,26634448896
40.4356,79.6759,26631901184
49.3269,79.6746,26631467008
43.8433,79.6818,26633900032
47.0644,79.689,26636292096
47.2015,79.6808,26633555968
43.5606,79.6745,26631446528
44.3182,79.6841,26634657792
46.9216,79.6982,26639376384
55.1136,79.7306,26650214400
48.8806,79.7145,26644819968
47.4432,79.705,26641649664
43.6553,79.3444,26521124864
48.1731,79.3786,26532548608
53.7879,79.4165,26545221632
53.3144,79.4047,26541252608
47.9167,79.3921,26537054208
43.2765,79.3924,26537156608
43.75,79.3862,26535092224
48.3902,79.8126,26677616640
52.1455,79.9629,26727833600
50.0947,80.5655,26929278976
46.1754,79.9673,26729312256
39.2724,79.9518,26724139008
41.2879,79.949,26723192832
51.2311,79.9502,26723590144
47.9846,79.935,26718511104
42.7103,79.9315,26717339648
48.6538,79.9278,26716127232
45.4291,79.9254,26715328512
50,79.9247,26715074560
45.7386,79.9151,26711863296
